#,PAIR,AMOUNT,PRICE,FEE,FEE PERC,FEE CURRENCY,DATE,ORDER ID
413521612,ETH/BTC,1.88210066,0.020369,-0.0037642,0.20%,ETH,02-02-20 12:11:33,38655949768
413521611,ETH/BTC,1.97505852,0.020368,-0.00395012,0.20%,ETH,02-02-20 12:11:33,38655949768
413521621,ETH/BTC,0.2895983,0.020372,-0.0005792,0.20%,ETH,02-02-20 12:11:33,38655949768
413521608,ETH/BTC,2.13926415,0.020367,-0.00427853,0.20%,ETH,02-02-20 12:11:33,38655949768
413521607,ETH/BTC,1.8676879,0.020367,-0.00373538,0.20%,ETH,02-02-20 12:11:33,38655949768
413521606,ETH/BTC,1.89894572,0.020366,-0.00379789,0.20%,ETH,02-02-20 12:11:33,38655949768
413521610,ETH/BTC,1.91751166,0.020368,-0.00383502,0.20%,ETH,02-02-20 12:11:33,38655949768
413521617,ETH/BTC,1.92244254,0.02037,-0.00384489,0.20%,ETH,02-02-20 12:11:33,38655949768
413521618,ETH/BTC,2.06511237,0.020371,-0.00413022,0.20%,ETH,02-02-20 12:11:33,38655949768
413521619,ETH/BTC,1.88715485,0.020371,-0.00377431,0.20%,ETH,02-02-20 12:11:33,38655949768
413521614,ETH/BTC,1.93876917,0.020369,-0.00387754,0.20%,ETH,02-02-20 12:11:33,38655949768
413521605,ETH/BTC,2.17582218,0.020366,-0.00435164,0.20%,ETH,02-02-20 12:11:33,38655949768
413521609,ETH/BTC,1.82758887,0.020367,-0.00365518,0.20%,ETH,02-02-20 12:11:33,38655949768
413521615,ETH/BTC,0.0417,0.02037,-0.0000834,0.20%,ETH,02-02-20 12:11:33,38655949768
413521620,ETH/BTC,1.95719309,0.020371,-0.00391439,0.20%,ETH,02-02-20 12:11:33,38655949768
413521616,ETH/BTC,1.9734786,0.02037,-0.00394696,0.20%,ETH,02-02-20 12:11:33,38655949768
413521613,ETH/BTC,2.11407617,0.020369,-0.00422815,0.20%,ETH,02-02-20 12:11:33,38655949768
413523757,ETH/USD,0.53,192.48605469,-0.00106,0.20%,ETH,02-02-20 12:10:52,38655949767
413523759,ETH/USD,3.25,192.49,-0.0065,0.20%,ETH,02-02-20 12:10:52,38655949767
413523760,ETH/USD,25.84034082,192.5,-0.05168068,0.20%,ETH,02-02-20 12:10:52,38655949767
413523754,ETH/USD,10.30228599,192.4305832,-0.02060457,0.20%,ETH,02-02-20 12:10:52,38655949767
413523756,ETH/USD,0.57049957,192.47,-0.001141,0.20%,ETH,02-02-20 12:10:52,38655949767
413523752,ETH/USD,8,192.4194889,-0.016,0.20%,ETH,02-02-20 12:10:52,38655949767
413523750,ETH/USD,8,192.40839461,-0.016,0.20%,ETH,02-02-20 12:10:52,38655949767
413055943,ETH/BTC,3.88023946,0.019402,-1.43149794,-,USD,30-01-20 22:36:20,38475250610
413055942,ETH/BTC,5,0.019402,-1.8445,-,USD,30-01-20 22:36:20,38475250610
413055941,ETH/BTC,48.84,0.0194,-18.017076,-,USD,30-01-20 22:36:20,38475250610
413055940,ETH/BTC,10,0.0194,-3.6892,-,USD,30-01-20 22:36:20,38475250610
413055932,ETH/BTC,40,0.019389,-14.7568,-,USD,30-01-20 22:36:20,38475250610
413055937,ETH/BTC,1.61987678,0.019399,-0.59760494,-,USD,30-01-20 22:36:20,38475250610
413055938,ETH/BTC,0.56943,0.0194,-0.21006273,-,USD,30-01-20 22:36:20,38475250610
413055939,ETH/BTC,4,0.0194,-1.47568,-,USD,30-01-20 22:36:20,38475250610
413055935,ETH/BTC,0.26609029,0.019396,-0.09816071,-,USD,30-01-20 22:36:20,38475250610
413055933,ETH/BTC,1.52905672,0.019392,-0.56406902,-,USD,30-01-20 22:36:20,38475250610
413055934,ETH/BTC,11,0.019392,-4.0579,-,USD,30-01-20 22:36:20,38475250610
413055936,ETH/BTC,1.61439549,0.019396,-0.59558278,-,USD,30-01-20 22:36:20,38475250610
413055931,ETH/BTC,1.52514285,0.019389,-0.5626557,-,USD,30-01-20 22:36:20,38475250610
413055930,ETH/BTC,82.46940389,0.019388,-30.42461248,-,USD,30-01-20 22:36:20,38475250610
413055927,ETH/BTC,1.68126251,0.019385,-0.62025137,-,USD,30-01-20 22:36:20,38475250610
413055925,ETH/BTC,1.56202535,0.019382,-0.57626239,-,USD,30-01-20 22:36:20,38475250610
413055926,ETH/BTC,24.11,0.019383,-8.894179,-,USD,30-01-20 22:36:20,38475250610
413055924,ETH/BTC,0.05244785,0.019379,-0.01934801,-,USD,30-01-20 22:36:20,38475250610
413055929,ETH/BTC,0.05242578,0.019387,-0.01933987,-,USD,30-01-20 22:36:20,38475250610
413055928,ETH/BTC,10,0.019386,-3.689,-,USD,30-01-20 22:36:20,38475250610
413055920,ETH/BTC,10.82972,0.01937,-3.99508371,-,USD,30-01-20 22:36:20,38475250610
413055922,ETH/BTC,1.53518837,0.019374,-0.56636169,-,USD,30-01-20 22:36:20,38475250610
413055914,ETH/BTC,10.83906,0.01936,-3.99852923,-,USD,30-01-20 22:36:20,38475250610
413055915,ETH/BTC,10.663,0.01936,-3.9335807,-,USD,30-01-20 22:36:20,38475250610
413055923,ETH/BTC,1.62815534,0.019378,-0.60065907,-,USD,30-01-20 22:36:20,38475250610
413055919,ETH/BTC,10.82972,0.01937,-3.99508371,-,USD,30-01-20 22:36:20,38475250610
413055912,ETH/BTC,10.83906,0.01936,-3.99874602,-,USD,30-01-20 22:36:20,38475250610
413055918,ETH/BTC,10.82416,0.01937,-3.99303262,-,USD,30-01-20 22:36:20,38475250610
413055913,ETH/BTC,10.83906,0.01936,-3.99874602,-,USD,30-01-20 22:36:20,38475250610
413055921,ETH/BTC,14.43,0.019371,-5.3235156,-,USD,30-01-20 22:36:20,38475250610
413055916,ETH/BTC,1.0847513,0.019361,-0.40018645,-,USD,30-01-20 22:36:20,38475250610
413055917,ETH/BTC,5,0.019367,-1.8446,-,USD,30-01-20 22:36:20,38475250610
413055909,ETH/BTC,5.17523735,0.019357,-1.90914506,-,USD,30-01-20 22:36:20,38475250610
413055908,ETH/BTC,5.17413421,0.019351,-1.90884159,-,USD,30-01-20 22:36:20,38475250610
413055906,ETH/BTC,1,0.01935,-0.36892,-,USD,30-01-20 22:36:20,38475250610
413055910,ETH/BTC,5.17465247,0.019359,-1.9089293,-,USD,30-01-20 22:36:20,38475250610
413055911,ETH/BTC,10.34930493,0.019359,-3.81806557,-,USD,30-01-20 22:36:20,38475250610
413055907,ETH/BTC,0.5,0.01935,-0.18446,-,USD,30-01-20 22:36:20,38475250610
413055905,ETH/BTC,19.14287949,0.019349,-7.06180824,-,USD,30-01-20 22:36:20,38475250610
413055904,ETH/BTC,40.544999,0.019346,-14.95705013,-,USD,30-01-20 22:36:20,38475250610
413055902,ETH/BTC,5.17493014,0.019339,-1.90913523,-,USD,30-01-20 22:36:20,38475250610
413055903,ETH/BTC,2.82253043,0.019342,-1.04123148,-,USD,30-01-20 22:36:20,38475250610
413055901,ETH/BTC,4.259,0.019334,-1.5711451,-,USD,30-01-20 22:36:20,38475250610
413055900,ETH/BTC,1.56866,0.019333,-0.57871005,-,USD,30-01-20 22:36:20,38475250610
412169453,BTC/USD,-0.00243,8502.2,-0.04132069,0.20%,USD,26-01-20 16:55:41,38153550571
412169449,BTC/USD,-0.01,8502.2,-0.170044,0.20%,USD,26-01-20 16:55:41,38153550571
412169450,BTC/USD,-0.01,8502.2,-0.170044,0.20%,USD,26-01-20 16:55:41,38153550571
412169451,BTC/USD,-0.01,8502.2,-0.170044,0.20%,USD,26-01-20 16:55:41,38153550571
412169454,BTC/USD,-0.160974,8502.2,-2.73726629,0.20%,USD,26-01-20 16:55:41,38153550571
412169448,BTC/USD,-0.005,8502.2,-0.085022,0.20%,USD,26-01-20 16:55:41,38153550571
412169452,BTC/USD,-0.00162,8502.2,-0.02754713,0.20%,USD,26-01-20 16:55:41,38153550571
412169425,BTC/USD,-0.260733,8502.2,-4.43360823,0.20%,USD,26-01-20 16:54:50,38153550570
412169424,BTC/USD,-0.01,8502.2,-0.170044,0.20%,USD,26-01-20 16:54:50,38153550570
412169421,BTC/USD,-0.0018,8502.3,-0.03060828,0.20%,USD,26-01-20 16:54:50,38153550570
412169422,BTC/USD,-0.01,8502.2,-0.170044,0.20%,USD,26-01-20 16:54:50,38153550570
412169423,BTC/USD,-0.01,8502.2,-0.170044,0.20%,USD,26-01-20 16:54:50,38153550570
412169420,BTC/USD,-0.0075,8503.1,-0.1275465,0.20%,USD,26-01-20 16:54:50,38153550570
412169399,BTC/USD,-0.01,8503,-0.17006,0.20%,USD,26-01-20 16:53:39,38147703564
412169401,BTC/USD,-0.366133,8503,-6.2264578,0.20%,USD,26-01-20 16:53:39,38147703564
412169400,BTC/USD,-0.0239,8503,-0.4064434,0.20%,USD,26-01-20 16:53:39,38147703564
412169387,BTC/USD,-0.400712,8503.1,-6.81458841,0.20%,USD,26-01-20 16:53:10,38147703563
412054474,ETH/BTC,-19,0.019244,-6.12522,-,USD,25-01-20 22:56:30,38102384019
412054475,ETH/BTC,-39.46632461,0.019241,-12.72315373,-,USD,25-01-20 22:56:30,38102384019
412054472,ETH/BTC,-12.44553,0.01925,-4.01218996,-,USD,25-01-20 22:56:30,38102384019
412054468,ETH/BTC,-10.36312205,0.019263,-3.34086329,-,USD,25-01-20 22:56:30,38102384019
412054473,ETH/BTC,-12.44553,0.01925,-4.01218996,-,USD,25-01-20 22:56:30,38102384019
412054471,ETH/BTC,-12.45568,0.01926,-4.01546212,-,USD,25-01-20 22:56:30,38102384019
412054469,ETH/BTC,-12.44553,0.01926,-4.01218996,-,USD,25-01-20 22:56:30,38102384019
412054470,ETH/BTC,-12.45568,0.01926,-4.01546212,-,USD,25-01-20 22:56:30,38102384019
412054463,ETH/BTC,-12.45087,0.01927,-4.01391147,-,USD,25-01-20 22:56:30,38102384019
412054464,ETH/BTC,-12.45087,0.01927,-4.01391147,-,USD,25-01-20 22:56:30,38102384019
412054467,ETH/BTC,-10.36312205,0.019263,-3.34086329,-,USD,25-01-20 22:56:30,38102384019
412054465,ETH/BTC,-0.04,0.019266,-0.0128952,-,USD,25-01-20 22:56:30,38102384019
412054462,ETH/BTC,-9.847,0.01927,-3.17447586,-,USD,25-01-20 22:56:30,38102384019
412054466,ETH/BTC,-5.18156103,0.019263,-1.67043164,-,USD,25-01-20 22:56:30,38102384019
412054459,ETH/BTC,-12.886,0.019279,-4.15418868,-,USD,25-01-20 22:56:30,38102384019
412054461,ETH/BTC,-10.071,0.019275,-3.24668898,-,USD,25-01-20 22:56:30,38102384019
412054458,ETH/BTC,-40.048911,0.01928,-12.91096793,-,USD,25-01-20 22:56:30,38102384019
412054460,ETH/BTC,-3.22889191,0.019276,-1.04093017,-,USD,25-01-20 22:56:30,38102384019
412054457,ETH/BTC,-196.263245,0.019289,-63.27134492,-,USD,25-01-20 22:56:30,38102384019
412054455,ETH/BTC,-1,0.019292,-0.32238,-,USD,25-01-20 22:56:30,38102384019
412054456,ETH/BTC,-5.09113235,0.019291,-1.64127925,-,USD,25-01-20 22:56:30,38102384019
412054436,ETH/BTC,-14.53,0.019233,-4.6879592,-,USD,25-01-20 22:49:43,38107774190
412054439,ETH/BTC,-1.30412172,0.019219,-0.42076183,-,USD,25-01-20 22:49:43,38107774190
412054435,ETH/BTC,-40,0.019234,-12.9048,-,USD,25-01-20 22:49:43,38107774190
412054437,ETH/BTC,-10.36331295,0.019231,-3.34361929,-,USD,25-01-20 22:49:43,38107774190
412054438,ETH/BTC,-15,0.019227,-4.8393,-,USD,25-01-20 22:49:43,38107774190
412054434,ETH/BTC,-1.29944384,0.019239,-0.41922657,-,USD,25-01-20 22:49:43,38107774190
412054433,ETH/BTC,-12.43326,0.01924,-4.01121834,-,USD,25-01-20 22:49:43,38107774190
412054431,ETH/BTC,-12.39366,0.01924,-3.99869046,-,USD,25-01-20 22:49:43,38107774190
412054428,ETH/BTC,-12.43142,0.01925,-4.01062472,-,USD,25-01-20 22:49:43,38107774190
412054429,ETH/BTC,-12,0.01925,-3.87168,-,USD,25-01-20 22:49:43,38107774190
412054432,ETH/BTC,-12.43326,0.01924,-4.01146701,-,USD,25-01-20 22:49:43,38107774190
412054430,ETH/BTC,-10,0.019241,-3.2264,-,USD,25-01-20 22:49:43,38107774190
412054427,ETH/BTC,-12.43142,0.01925,-4.01062472,-,USD,25-01-20 22:49:43,38107774190
412054426,ETH/BTC,-12.44239,0.01926,-4.01441271,-,USD,25-01-20 22:49:43,38107774190
412054421,ETH/BTC,-6.45921157,0.019265,-2.08400002,-,USD,25-01-20 22:49:43,38107774190
412054424,ETH/BTC,-12.43628,0.01926,-4.01219265,-,USD,25-01-20 22:49:43,38107774190
412054422,ETH/BTC,-10.36227258,0.019264,-3.34307638,-,USD,25-01-20 22:49:43,38107774190
412054420,ETH/BTC,-10.36223931,0.019265,-3.34327289,-,USD,25-01-20 22:49:43,38107774190
412054423,ETH/BTC,-5.18272176,0.019263,-1.67204969,-,USD,25-01-20 22:49:43,38107774190
412054425,ETH/BTC,-12.44239,0.01926,-4.01416386,-,USD,25-01-20 22:49:43,38107774190
412054419,ETH/BTC,-8.812,0.019269,-2.84310368,-,USD,25-01-20 22:49:43,38107774190
412054412,ETH/BTC,-9.723,0.019277,-3.13683426,-,USD,25-01-20 22:49:43,38107774190
412054410,ETH/BTC,-3,0.019279,-0.96786,-,USD,25-01-20 22:49:43,38107774190
412054411,ETH/BTC,-5,0.019278,-1.6131,-,USD,25-01-20 22:49:43,38107774190
412054413,ETH/BTC,-8.39740431,0.019276,-2.70933853,-,USD,25-01-20 22:49:43,38107774190
412054414,ETH/BTC,-3.22961271,0.019276,-1.04193765,-,USD,25-01-20 22:49:43,38107774190
412054415,ETH/BTC,-41.52849029,0.019274,-13.39875211,-,USD,25-01-20 22:49:43,38107774190
412054418,ETH/BTC,-12.43356,0.01927,-4.01131513,-,USD,25-01-20 22:49:43,38107774190
412054416,ETH/BTC,-8.523,0.019273,-2.74969026,-,USD,25-01-20 22:49:43,38107774190
412054417,ETH/BTC,-12.43356,0.01927,-4.0115638,-,USD,25-01-20 22:49:43,38107774190
412054407,ETH/BTC,-5.18088011,0.019286,-1.67155916,-,USD,25-01-20 22:49:43,38107774190
412054408,ETH/BTC,-26.70709144,0.019282,-8.61624184,-,USD,25-01-20 22:49:43,38107774190
412054406,ETH/BTC,-12.67610333,0.019287,-4.08981798,-,USD,25-01-20 22:49:43,38107774190
412054409,ETH/BTC,-4.53345705,0.019281,-1.46267458,-,USD,25-01-20 22:49:43,38107774190
412054405,ETH/BTC,-51.33255645,0.019292,-16.56193601,-,USD,25-01-20 22:49:43,38107774190
412054404,ETH/BTC,-0.18188058,0.019293,-0.05867831,-,USD,25-01-20 22:49:43,38107774190
410549138,ETH/BTC,7.93525348,0.01911,-2.6703715,-,USD,18-01-20 11:37:55,37681649896
410549137,ETH/BTC,5,0.019107,-1.6826,-,USD,18-01-20 11:37:55,37681649896
410549130,ETH/BTC,30,0.019083,-10.0956,-,USD,18-01-20 11:37:55,37681649896
410549136,ETH/BTC,20,0.019097,-6.7304,-,USD,18-01-20 11:37:55,37681649896
410549132,ETH/BTC,53.14,0.019089,-17.8826728,-,USD,18-01-20 11:37:55,37681649896
410549129,ETH/BTC,45.52954837,0.019083,-15.32160362,-,USD,18-01-20 11:37:55,37681649896
410549131,ETH/BTC,5,0.019084,-1.6826,-,USD,18-01-20 11:37:55,37681649896
410549135,ETH/BTC,10,0.019093,-3.3652,-,USD,18-01-20 11:37:55,37681649896
410549134,ETH/BTC,0.60000001,0.019093,-0.201912,-,USD,18-01-20 11:37:55,37681649896
410549133,ETH/BTC,10.51275986,0.019089,-3.53775395,-,USD,18-01-20 11:37:55,37681649896
410549128,ETH/BTC,0.31443245,0.019082,-0.10581281,-,USD,18-01-20 11:37:55,37681649896
410549124,ETH/BTC,96.72130483,0.019065,-32.5486535,-,USD,18-01-20 11:37:55,37681649896
410549125,ETH/BTC,16.24,0.01907,-5.4650848,-,USD,18-01-20 11:37:55,37681649896
410549126,ETH/BTC,26.9,0.019073,-9.052388,-,USD,18-01-20 11:37:55,37681649896
410549127,ETH/BTC,15,0.019074,-5.0478,-,USD,18-01-20 11:37:55,37681649896
410549123,ETH/BTC,7.72058689,0.019061,-2.5981319,-,USD,18-01-20 11:37:55,37681649896
410549117,ETH/BTC,2.05411701,0.019053,-0.69125146,-,USD,18-01-20 11:37:55,37681649896
410549120,ETH/BTC,6.16235102,0.019055,-2.07375437,-,USD,18-01-20 11:37:55,37681649896
410549121,ETH/BTC,10.51275986,0.019059,-3.53775395,-,USD,18-01-20 11:37:55,37681649896
410549118,ETH/BTC,10.51386516,0.019054,-3.5381259,-,USD,18-01-20 11:37:55,37681649896
410549119,ETH/BTC,11,0.019055,-3.70172,-,USD,18-01-20 11:37:55,37681649896
410549122,ETH/BTC,5.25637993,0.01906,-1.76887697,-,USD,18-01-20 11:37:55,37681649896
410549113,ETH/BTC,11.87077,0.01905,-3.99475152,-,USD,18-01-20 11:37:55,37681649896
410549115,ETH/BTC,17.347,0.01905,-5.83761244,-,USD,18-01-20 11:37:55,37681649896
410549112,ETH/BTC,0.5,0.019049,-0.16826,-,USD,18-01-20 11:37:55,37681649896
410549114,ETH/BTC,1.0270585,0.01905,-0.34562573,-,USD,18-01-20 11:37:55,37681649896
410549116,ETH/BTC,2.99952951,0.019051,-1.00940167,-,USD,18-01-20 11:37:55,37681649896
410549109,ETH/BTC,4.21979707,0.019038,-1.42004611,-,USD,18-01-20 11:37:55,37681649896
410549107,ETH/BTC,4.618,0.019028,-1.55404936,-,USD,18-01-20 11:37:55,37681649896
410549108,ETH/BTC,0.05,0.019032,-0.016826,-,USD,18-01-20 11:37:55,37681649896
410549110,ETH/BTC,0.8764988,0.019043,-0.29495938,-,USD,18-01-20 11:37:55,37681649896
410549111,ETH/BTC,10.32798725,0.019044,-3.47557427,-,USD,18-01-20 11:37:55,37681649896
410549106,ETH/BTC,0.05,0.019027,-0.016826,-,USD,18-01-20 11:37:55,37681649896
410549102,ETH/BTC,6.16195902,0.019047,-2.0753478,-,USD,18-01-20 11:36:13,37682936963
410549100,ETH/BTC,16.98692532,0.01904,-5.72119645,-,USD,18-01-20 11:36:13,37682936963
410549101,ETH/BTC,4.99,0.019045,-1.680632,-,USD,18-01-20 11:36:13,37682936963
410549099,ETH/BTC,3,0.019039,-1.0104,-,USD,18-01-20 11:36:13,37682936963
410549103,ETH/BTC,12.02816276,0.019049,-4.05108522,-,USD,18-01-20 11:36:13,37682936963
410549096,ETH/BTC,8.49284108,0.019031,-2.86038888,-,USD,18-01-20 11:36:13,37682936963
410549098,ETH/BTC,347.6194341,0.019034,-117.0782254,-,USD,18-01-20 11:36:13,37682936963
410549097,ETH/BTC,16.713,0.019033,-5.6289384,-,USD,18-01-20 11:36:13,37682936963
410549091,ETH/BTC,1.14267772,0.019019,-0.38485386,-,USD,18-01-20 11:36:13,37682936963
410549095,ETH/BTC,26.886,0.019028,-9.0552048,-,USD,18-01-20 11:36:13,37682936963
410549094,ETH/BTC,0.5,0.019026,-0.1684,-,USD,18-01-20 11:36:13,37682936963
410549092,ETH/BTC,4.479,0.01902,-1.5085272,-,USD,18-01-20 11:36:13,37682936963
410549093,ETH/BTC,1,0.019025,-0.3368,-,USD,18-01-20 11:36:13,37682936963
410260836,ETH/BTC,-188.58972922,0.018933,-63.0304593,-,USD,17-01-20 14:12:48,37623854974
410260835,ETH/BTC,-15.9,0.018938,-5.314098,-,USD,17-01-20 14:12:48,37623854974
410260830,ETH/BTC,-11.95489,0.01895,-3.99556334,-,USD,17-01-20 14:12:48,37623854974
410260832,ETH/BTC,-43.73176066,0.018941,-14.61602905,-,USD,17-01-20 14:12:48,37623854974
410260831,ETH/BTC,-10.53488555,0.018948,-3.52096945,-,USD,17-01-20 14:12:48,37623854974
410260834,ETH/BTC,-11.96364,0.01894,-3.99848776,-,USD,17-01-20 14:12:48,37623854974
410260833,ETH/BTC,-11.96364,0.01894,-3.99776994,-,USD,17-01-20 14:12:48,37623854974
410260827,ETH/BTC,-10.53376855,0.018954,-3.52059612,-,USD,17-01-20 14:12:48,37623854974
410260829,ETH/BTC,-11.95489,0.01895,-3.99556334,-,USD,17-01-20 14:12:48,37623854974
410260825,ETH/BTC,-0.09340607,0.018956,-0.03121257,-,USD,17-01-20 14:12:48,37623854974
410260828,ETH/BTC,-5.26688427,0.018954,-1.76029806,-,USD,17-01-20 14:12:48,37623854974
410260826,ETH/BTC,-24.538,0.018955,-8.20109036,-,USD,17-01-20 14:12:48,37623854974
410260824,ETH/BTC,-23.414,0.018959,-7.82402224,-,USD,17-01-20 14:12:48,37623854974
410260821,ETH/BTC,-15,0.018964,-5.0133,-,USD,17-01-20 14:12:48,37623854974
410260823,ETH/BTC,-3.88863975,0.018961,-1.29966118,-,USD,17-01-20 14:12:48,37623854974
410260822,ETH/BTC,-17.102,0.018963,-5.71583044,-,USD,17-01-20 14:12:48,37623854974
410260818,ETH/BTC,-5.09667335,0.018969,-1.70341017,-,USD,17-01-20 14:12:48,37623854974
410260816,ETH/BTC,-0.5,0.018973,-0.16711,-,USD,17-01-20 14:12:48,37623854974
410260819,ETH/BTC,-3,0.018968,-1.00248,-,USD,17-01-20 14:12:48,37623854974
410260817,ETH/BTC,-6.08465,0.018972,-2.03361172,-,USD,17-01-20 14:12:48,37623854974
410260820,ETH/BTC,-23.81854258,0.018967,-7.95920419,-,USD,17-01-20 14:12:48,37623854974
410260814,ETH/BTC,-1,0.018975,-0.33416,-,USD,17-01-20 14:12:48,37623854974
410260815,ETH/BTC,-4.07,0.018974,-1.3602754,-,USD,17-01-20 14:12:48,37623854974
410224066,ETH/BTC,-5.23249042,0.019076,-1.77967464,-,USD,17-01-20 10:29:50,37614471850
410224068,ETH/BTC,-11.79296,0.01907,-4.01054984,-,USD,17-01-20 10:29:50,37614471850
410224067,ETH/BTC,-11.79296,0.01907,-4.01031398,-,USD,17-01-20 10:29:50,37614471850
410224069,ETH/BTC,-65.28106759,0.019066,-22.20078547,-,USD,17-01-20 10:29:50,37614471850
410224065,ETH/BTC,-10.46498085,0.019076,-3.55893069,-,USD,17-01-20 10:29:50,37614471850
410224059,ETH/BTC,-11,0.019081,-3.74066,-,USD,17-01-20 10:29:50,37614471850
410224061,ETH/BTC,-11.79329,0.01908,-4.0104262,-,USD,17-01-20 10:29:50,37614471850
410224055,ETH/BTC,-16.88394376,0.019092,-5.74256695,-,USD,17-01-20 10:29:50,37614471850
410224062,ETH/BTC,-15.9,0.01908,-5.407908,-,USD,17-01-20 10:29:50,37614471850
410224063,ETH/BTC,-10.46498085,0.019079,-3.55893069,-,USD,17-01-20 10:29:50,37614471850
410224060,ETH/BTC,-11.79329,0.01908,-4.01113379,-,USD,17-01-20 10:29:50,37614471850
410224058,ETH/BTC,-127.999,0.019083,-43.52989992,-,USD,17-01-20 10:29:50,37614471850
410224057,ETH/BTC,-42.61086146,0.019084,-14.49110177,-,USD,17-01-20 10:29:50,37614471850
410224064,ETH/BTC,-15.75945364,0.019077,-5.35947499,-,USD,17-01-20 10:29:50,37614471850
410224056,ETH/BTC,-2.03090745,0.019086,-0.69067101,-,USD,17-01-20 10:29:50,37614471850
410224054,ETH/BTC,-15.613,0.019094,-5.30966904,-,USD,17-01-20 10:29:50,37614471850
410224051,ETH/BTC,-5,0.019105,-1.7003,-,USD,17-01-20 10:29:50,37614471850
410224048,ETH/BTC,-15,0.019107,-5.1018,-,USD,17-01-20 10:29:50,37614471850
410224050,ETH/BTC,-4.657,0.019105,-1.58393884,-,USD,17-01-20 10:29:50,37614471850
410224052,ETH/BTC,-8.44429932,0.019103,-2.87173731,-,USD,17-01-20 10:29:50,37614471850
410224053,ETH/BTC,-3,0.019095,-1.02018,-,USD,17-01-20 10:29:50,37614471850
410224049,ETH/BTC,-3.298,0.019107,-1.12158384,-,USD,17-01-20 10:29:50,37614471850
410224044,ETH/BTC,-0.17323216,0.019119,-0.05891279,-,USD,17-01-20 10:29:50,37614471850
410224047,ETH/BTC,-0.5,0.019108,-0.17003,-,USD,17-01-20 10:29:50,37614471850
410224046,ETH/BTC,-1,0.019111,-0.34008,-,USD,17-01-20 10:29:50,37614471850
410224045,ETH/BTC,-22.5142825,0.019112,-7.65620691,-,USD,17-01-20 10:29:50,37614471850
410121543,ETH/BTC,21.106,0.019044,-7.00676988,-,USD,17-01-20 02:48:53,37554449341
410121545,ETH/BTC,21.55217845,0.019049,-7.15790951,-,USD,17-01-20 02:48:53,37554449341
410121544,ETH/BTC,351.19329194,0.019047,-116.63831612,-,USD,17-01-20 02:48:53,37554449341
410121540,ETH/BTC,20,0.019039,-6.6424,-,USD,17-01-20 02:48:53,37554449341
410121541,ETH/BTC,12.02829,0.01904,-3.99483567,-,USD,17-01-20 02:48:53,37554449341
410121542,ETH/BTC,5,0.019042,-1.6606,-,USD,17-01-20 02:48:53,37554449341
410121537,ETH/BTC,1,0.019028,-0.33212,-,USD,17-01-20 02:48:53,37554449341
410121539,ETH/BTC,0.5,0.019039,-0.16599,-,USD,17-01-20 02:48:53,37554449341
410121538,ETH/BTC,8.51244871,0.01903,-2.82715447,-,USD,17-01-20 02:48:53,37554449341
410121535,ETH/BTC,4.7,0.019013,-1.560306,-,USD,17-01-20 02:48:53,37554449341
410121536,ETH/BTC,3.4077909,0.019024,-1.13179551,-,USD,17-01-20 02:48:53,37554449341
410121534,ETH/BTC,1,0.019003,-0.33212,-,USD,17-01-20 02:48:53,37554449341
409974472,ETH/BTC,285.25793661,0.018867,-93.19376789,-,USD,16-01-20 11:45:57,37550932658
409974469,ETH/BTC,50.41503418,0.018859,-16.47059167,-,USD,16-01-20 11:45:57,37550932658
409974471,ETH/BTC,5.31115066,0.018865,-1.73579026,-,USD,16-01-20 11:45:57,37550932658
409974467,ETH/BTC,8.97368823,0.018853,-2.93044763,-,USD,16-01-20 11:45:57,37550932658
409974470,ETH/BTC,9.34072352,0.01886,-3.05161437,-,USD,16-01-20 11:45:57,37550932658
409974468,ETH/BTC,1.05674672,0.018855,-0.34536596,-,USD,16-01-20 11:45:57,37550932658
409974462,ETH/BTC,21.34375559,0.01884,-6.97300495,-,USD,16-01-20 11:45:57,37550932658
409974464,ETH/BTC,3.4494097,0.018843,-1.12733608,-,USD,16-01-20 11:45:57,37550932658
409974465,ETH/BTC,8.55830772,0.018847,-2.79480097,-,USD,16-01-20 11:45:57,37550932658
409974466,ETH/BTC,15.8,0.018851,-5.16186,-,USD,16-01-20 11:45:57,37550932658
409974463,ETH/BTC,1,0.018842,-0.32656,-,USD,16-01-20 11:45:57,37550932658
409974461,ETH/BTC,0.5,0.01884,-0.16341,-,USD,16-01-20 11:45:57,37550932658
409974460,ETH/BTC,8.99324707,0.018825,-2.93809382,-,USD,16-01-20 11:45:57,37550932658
408811938,ETH/BTC,-83.58807294,0.017655,-23.9697158,-,USD,13-01-20 10:21:06,37348543936
408811937,ETH/BTC,-3.53,0.017655,-1.0122628,-,USD,13-01-20 10:21:06,37348543936
408811934,ETH/BTC,-13.97136,0.01766,-4.00642719,-,USD,13-01-20 10:21:06,37348543936
408811935,ETH/BTC,-0.37270988,0.017656,-0.10687829,-,USD,13-01-20 10:21:06,37348543936
408811936,ETH/BTC,-34.64,0.017655,-9.9333664,-,USD,13-01-20 10:21:06,37348543936
408811931,ETH/BTC,-17.512,0.01766,-5.02174112,-,USD,13-01-20 10:21:06,37348543936
408811932,ETH/BTC,-13.97136,0.01766,-4.00642719,-,USD,13-01-20 10:21:06,37348543936
408811930,ETH/BTC,-47.86996046,0.017661,-13.72718986,-,USD,13-01-20 10:21:06,37348543936
408811933,ETH/BTC,-13.97136,0.01766,-4.00642719,-,USD,13-01-20 10:21:06,37348543936
