#,DATE,CURRENCY,STATUS,AMOUNT,FEES,DESCRIPTION,TRANSACTION ID,NOTE
1874934,18-04-17 05:29:48,ETH,COMPLETED,-200,0,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0x83a4e9ba4924ceb35cc556e04f22ebafdf545bafe83e93c5b8a621981e4e0092,
1764721,20-03-17 07:38:24,ETH,COMPLETED,-490.72736766,0,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xbdde7c2062cae6387a92d27e3bebbfc43b79c80da0e1d8f9f6259da339f754df,
1764657,20-03-17 07:03:00,BTC,COMPLETED,0.97784193,0,19kzQp8oCemBm4fs7wtQfTwXL9BtbeJRi4,8370831f04c2f8ff50424a5188b7dee5d34d995524ea69e3bbec2a1453dd8b70,
1759598,18-03-17 23:59:16,ETH,COMPLETED,500,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x1392c27c730a9dfc9fa082dad98532d029018cd90517379df69bfb4e2f574237,
1759539,18-03-17 23:47:41,ETH,COMPLETED,198,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x152ca46d88dda3960a499955cc698adf33132286b40a52d858949c63045417c0,
1753990,17-03-17 21:49:50,ETH,COMPLETED,800,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xbb630c76573a27bf9d449e82ae29502f073c6ba38d8cafb43a03eaa6869ac1fc,
1751842,17-03-17 12:20:34,BTC,COMPLETED,-12.1,0,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,14ebd68882661342fdefb5aa9cca64bceb108c244a23dfbc48ec294ae190e8f8,
1751850,17-03-17 12:20:34,BTC,COMPLETED,-7.56281973,0,1MhhJYD2BeJcbYdR4i5bw2md28c9kdieT8,14ebd68882661342fdefb5aa9cca64bceb108c244a23dfbc48ec294ae190e8f8,
1751824,17-03-17 12:06:15,BTC,CANCELED,-19.66281973,0,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,,
1744652,16-03-17 05:10:16,ETH,COMPLETED,-800.0159753,0,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xecfed39ea2b54c410c3220e332d16127d083c470db6e50ea28a31012bff76e1c,
1722232,09-03-17 07:15:08,BTC,COMPLETED,-0.68738703,0,18FoNaiH6dZfhr1JY1jnkFKd23dsjDePiw,7fa765be4e33fc5cbb26807a02f612c492b2a55ace3be192bb833336fbcfdfdc,
1717041,07-03-17 13:30:09,BTC,COMPLETED,-0.01497,0,1D7rHQUwkaG8fw5qiwQ45RWcHJpmK89yaC,e1f3059b81c2d6e33337d356b4fd29b16fd1d8369c3c5dfa5d1548b6fc6e5624,
1716984,07-03-17 13:21:27,ETH,COMPLETED,769,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x1a1f6026bf7217b62503a79d5ab7a8d8062afc81471710d811c7ea5b84f66937,
1716985,07-03-17 13:21:27,ETH,COMPLETED,9,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xda71e3ce899f358dbedacac03d0baeadbc859e9853520517e792c9e05c3ee622,
1715510,06-03-17 22:32:01,ETH,COMPLETED,-776.52319427,0,0x2fcdEf09932B7087e9470934C55B69eD3B13a041,0xab0e068ed8b71a2adf12d80925b813fb2d38e52dc4549f632284dee83f9ed568,
1714874,06-03-17 15:56:15,ETH,COMPLETED,401,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0x14635abe198856ea0c866ac061b9079ce7c7f3c468f6baf57238b94153f71c6a,
1708098,03-03-17 20:37:09,ETH,COMPLETED,400,0,0xac7de85b614656f76e87287de072f95aedb7bbc1,0xfd94208e0e99423525137622a07cf8141589785f0d32c0cfb0ada5a2768d9d77,
