#,DESCRIPTION,CURRENCY,AMOUNT,BALANCE,DATE,WALLET
2795039474,Settlement dust on wallet margin,USD,1e-8,0,27-04-20 17:33:32,margin
2629321969,Crypto Withdrawal fee on wallet exchange,ETH,-0.0053505,0,05-02-20 21:40:18,exchange
2629321968,Ethereum Withdrawal #13574777 on wallet exchange,ETH,-85.18371026,0.0053505,05-02-20 21:40:18,exchange
2624087529,Crypto Withdrawal fee on wallet exchange,ETH,-0.00135,85.18906076,02-02-20 20:40:25,exchange
2624087528,Ethereum Withdrawal #13558808 on wallet exchange,ETH,-9.99865,85.19041076,02-02-20 20:40:25,exchange
2623573928,Settlement @ 0.0204 on wallet exchange,BTC,5.2e-7,0,02-02-20 12:18:05,exchange
2623573927,Settlement @ 0.0204 on wallet exchange,ETH,-0.00002558,95.18906076,02-02-20 12:18:05,exchange
2623573823,Settlement @ 9475.0 on wallet exchange,USD,-4.8e-7,0,02-02-20 12:18:05,exchange
2623565166,Transfer of 8.98793745 ETH from wallet Trading to Exchange on wallet exchange,ETH,8.98793745,95.18908634,02-02-20 12:12:08,exchange
2623565165,Transfer of 8.98793745 ETH from wallet Trading to Exchange on wallet margin,ETH,-8.98793745,0,02-02-20 12:12:08,margin
2623563911,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015844,86.20114889,02-02-20 12:11:33,exchange
2623563907,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016569,86.20099045,02-02-20 12:11:33,exchange
2623563901,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00002431,86.20082476,02-02-20 12:11:33,exchange
2623563892,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016277,86.20080045,02-02-20 12:11:33,exchange
2623563884,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00017338,86.20851293,02-02-20 12:11:33,exchange
2623563883,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00017749,86.20833955,02-02-20 12:11:33,exchange
2623563882,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016432,86.20816206,02-02-20 12:11:33,exchange
2623563881,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0001614,86.20799774,02-02-20 12:11:33,exchange
2623563879,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0000035,86.20783634,02-02-20 12:11:33,exchange
2623563868,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015801,86.22420643,02-02-20 12:11:33,exchange
2623563865,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015344,86.22404842,02-02-20 12:11:33,exchange
2623563860,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016099,86.2280252,02-02-20 12:11:33,exchange
2623563852,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00015943,86.23911861,02-02-20 12:11:33,exchange
2623563851,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00018267,86.23895918,02-02-20 12:11:33,exchange
2623563848,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00016582,86.23877651,02-02-20 12:11:33,exchange
2623563833,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0001796,86.24669771,02-02-20 12:11:33,exchange
2623563828,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0001568,85.95691981,02-02-20 12:11:33,exchange
2623563891,Trading fees for 0.0417 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.0000834,86.20063768,02-02-20 12:11:33,exchange
2623563888,Trading fees for 1.92244254 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00384489,86.20072108,02-02-20 12:11:33,exchange
2623563886,Trading fees for 1.9734786 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00394696,86.20456597,02-02-20 12:11:33,exchange
2623563877,Trading fees for 2.11407617 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00422815,86.20783284,02-02-20 12:11:33,exchange
2623563876,Trading fees for 1.93876917 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00387754,86.21206099,02-02-20 12:11:33,exchange
2623563872,Trading fees for 1.88715485 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00377431,86.21593853,02-02-20 12:11:33,exchange
2623563871,Trading fees for 0.2895983 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.0005792,86.21971284,02-02-20 12:11:33,exchange
2623563869,Trading fees for 1.95719309 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00391439,86.22029204,02-02-20 12:11:33,exchange
2623563861,Trading fees for 2.06511237 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00413022,86.22389498,02-02-20 12:11:33,exchange
2623563858,Trading fees for 1.88210066 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.0037642,86.22786421,02-02-20 12:11:33,exchange
2623563856,Trading fees for 1.91751166 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00383502,86.23162841,02-02-20 12:11:33,exchange
2623563853,Trading fees for 1.82758887 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00365518,86.23546343,02-02-20 12:11:33,exchange
2623563847,Trading fees for 2.17582218 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00435164,86.23861069,02-02-20 12:11:33,exchange
2623563842,Trading fees for 1.8676879 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00373538,86.24296233,02-02-20 12:11:33,exchange
2623563825,Trading fees for 2.13926415 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00427853,85.95676301,02-02-20 12:11:33,exchange
2623563823,Trading fees for 1.97505852 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00395012,85.96104154,02-02-20 12:11:33,exchange
2623563821,Trading fees for 1.89894572 ETH (ETHBTC) @ 0.0204 on BFX (0.2%) on wallet exchange,ETH,-0.00379789,85.96499166,02-02-20 12:11:33,exchange
2623563834,Exchange 0.2895983 ETH for BTC @ 0.020372 on wallet exchange,BTC,-0.0058997,-5.2e-7,02-02-20 12:11:33,exchange
2623563831,Exchange 0.2895983 ETH for BTC @ 0.020372 on wallet exchange,ETH,0.2895983,86.24651811,02-02-20 12:11:33,exchange
2623563819,Exchange 1.88715485 ETH for BTC @ 0.020371 on wallet exchange,BTC,-0.03844323,0.00589918,02-02-20 12:11:33,exchange
2623563818,Exchange 1.88715485 ETH for BTC @ 0.020371 on wallet exchange,ETH,1.88715485,85.96878955,02-02-20 12:11:33,exchange
2623563817,Exchange 1.95719309 ETH for BTC @ 0.020371 on wallet exchange,BTC,-0.03986998,0.04434241,02-02-20 12:11:33,exchange
2623563815,Exchange 2.06511237 ETH for BTC @ 0.020371 on wallet exchange,BTC,-0.0420684,0.08421239,02-02-20 12:11:33,exchange
2623563814,Exchange 1.95719309 ETH for BTC @ 0.020371 on wallet exchange,ETH,1.95719309,84.0816347,02-02-20 12:11:33,exchange
2623563813,Exchange 1.92244254 ETH for BTC @ 0.02037 on wallet exchange,BTC,-0.03916015,0.12628079,02-02-20 12:11:33,exchange
2623563812,Exchange 0.0417 ETH for BTC @ 0.02037 on wallet exchange,BTC,-0.00084943,0.16544094,02-02-20 12:11:33,exchange
2623563811,Exchange 1.9734786 ETH for BTC @ 0.02037 on wallet exchange,BTC,-0.04019976,0.16629037,02-02-20 12:11:33,exchange
2623563810,Exchange 2.06511237 ETH for BTC @ 0.020371 on wallet exchange,ETH,2.06511237,82.12444161,02-02-20 12:11:33,exchange
2623563809,Exchange 1.88210066 ETH for BTC @ 0.020369 on wallet exchange,ETH,1.88210066,80.05932924,02-02-20 12:11:33,exchange
2623563808,Exchange 0.0417 ETH for BTC @ 0.02037 on wallet exchange,ETH,0.0417,78.17722858,02-02-20 12:11:33,exchange
2623563807,Exchange 1.9734786 ETH for BTC @ 0.02037 on wallet exchange,ETH,1.9734786,78.13552858,02-02-20 12:11:33,exchange
2623563805,Exchange 1.92244254 ETH for BTC @ 0.02037 on wallet exchange,ETH,1.92244254,76.16204998,02-02-20 12:11:33,exchange
2623563804,Exchange 2.11407617 ETH for BTC @ 0.020369 on wallet exchange,BTC,-0.04306162,0.20649013,02-02-20 12:11:33,exchange
2623563803,Exchange 1.93876917 ETH for BTC @ 0.020369 on wallet exchange,BTC,-0.03949079,0.24955175,02-02-20 12:11:33,exchange
2623563801,Exchange 1.93876917 ETH for BTC @ 0.020369 on wallet exchange,ETH,1.93876917,74.23960744,02-02-20 12:11:33,exchange
2623563799,Exchange 1.88210066 ETH for BTC @ 0.020369 on wallet exchange,BTC,-0.03833651,0.28904254,02-02-20 12:11:33,exchange
2623563798,Exchange 1.97505852 ETH for BTC @ 0.020368 on wallet exchange,ETH,1.97505852,72.30083827,02-02-20 12:11:33,exchange
2623563797,Exchange 2.11407617 ETH for BTC @ 0.020369 on wallet exchange,ETH,2.11407617,70.32577975,02-02-20 12:11:33,exchange
2623563795,Exchange 1.97505852 ETH for BTC @ 0.020368 on wallet exchange,BTC,-0.04022799,0.32737905,02-02-20 12:11:33,exchange
2623563794,Exchange 1.91751166 ETH for BTC @ 0.020368 on wallet exchange,ETH,1.91751166,68.21170358,02-02-20 12:11:33,exchange
2623563793,Exchange 1.82758887 ETH for BTC @ 0.020367 on wallet exchange,ETH,1.82758887,66.29419192,02-02-20 12:11:33,exchange
2623563791,Exchange 1.91751166 ETH for BTC @ 0.020368 on wallet exchange,BTC,-0.03905588,0.36760704,02-02-20 12:11:33,exchange
2623563789,Exchange 1.82758887 ETH for BTC @ 0.020367 on wallet exchange,BTC,-0.0372225,0.40666292,02-02-20 12:11:33,exchange
2623563787,Exchange 2.13926415 ETH for BTC @ 0.020367 on wallet exchange,BTC,-0.04357039,0.44388542,02-02-20 12:11:33,exchange
2623563786,Exchange 1.8676879 ETH for BTC @ 0.020367 on wallet exchange,ETH,1.8676879,64.46660305,02-02-20 12:11:33,exchange
2623563785,Exchange 1.8676879 ETH for BTC @ 0.020367 on wallet exchange,BTC,-0.0380392,0.48745581,02-02-20 12:11:33,exchange
2623563784,Exchange 1.89894572 ETH for BTC @ 0.020366 on wallet exchange,BTC,-0.03867393,0.52549501,02-02-20 12:11:33,exchange
2623563783,Exchange 2.13926415 ETH for BTC @ 0.020367 on wallet exchange,ETH,2.13926415,62.59891515,02-02-20 12:11:33,exchange
2623563782,Exchange 2.17582218 ETH for BTC @ 0.020366 on wallet exchange,BTC,-0.04431279,0.56416894,02-02-20 12:11:33,exchange
2623563781,Exchange 2.17582218 ETH for BTC @ 0.020366 on wallet exchange,ETH,2.17582218,60.459651,02-02-20 12:11:33,exchange
2623563780,Exchange 1.89894572 ETH for BTC @ 0.020366 on wallet exchange,ETH,1.89894572,58.28382882,02-02-20 12:11:33,exchange
2623561385,Transfer of 0.6077635 BTC from wallet Trading to Exchange on wallet exchange,BTC,0.6077635,0.60848173,02-02-20 12:11:01,exchange
2623561384,Transfer of 0.6077635 BTC from wallet Trading to Exchange on wallet margin,BTC,-0.6077635,0,02-02-20 12:11:01,margin
2623561108,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00216946,56.3848831,02-02-20 12:10:52,exchange
2623561104,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0000445,56.38271364,02-02-20 12:10:52,exchange
2623561103,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00027286,56.38266914,02-02-20 12:10:52,exchange
2623561100,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.0000479,56.43407696,02-02-20 12:10:52,exchange
2623561097,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00067165,56.43402906,02-02-20 12:10:52,exchange
2623561092,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00086494,56.46152198,02-02-20 12:10:52,exchange
2623561088,"Affiliate Rebate (self,rebate:4.1978%) on wallet exchange",ETH,0.00067165,56.47665704,02-02-20 12:10:52,exchange
2623561101,Trading fees for 25.84034082 ETH (ETHUSD) @ 192.5 on BFX (0.2%) on wallet exchange,ETH,-0.05168068,56.38239628,02-02-20 12:10:52,exchange
2623561095,Trading fees for 3.25 ETH (ETHUSD) @ 192.49 on BFX (0.2%) on wallet exchange,ETH,-0.0065,56.43335741,02-02-20 12:10:52,exchange
2623561094,Trading fees for 0.53 ETH (ETHUSD) @ 192.4861 on BFX (0.2%) on wallet exchange,ETH,-0.00106,56.43985741,02-02-20 12:10:52,exchange
2623561093,Trading fees for 10.30228599 ETH (ETHUSD) @ 192.4306 on BFX (0.2%) on wallet exchange,ETH,-0.02060457,56.44091741,02-02-20 12:10:52,exchange
2623561091,Trading fees for 8.0 ETH (ETHUSD) @ 192.4084 on BFX (0.2%) on wallet exchange,ETH,-0.016,56.46065704,02-02-20 12:10:52,exchange
2623561087,Trading fees for 0.57049957 ETH (ETHUSD) @ 192.47 on BFX (0.2%) on wallet exchange,ETH,-0.001141,56.47598539,02-02-20 12:10:52,exchange
2623561084,Trading fees for 8.0 ETH (ETHUSD) @ 192.4195 on BFX (0.2%) on wallet exchange,ETH,-0.016,27.38678557,02-02-20 12:10:52,exchange
2623561086,Exchange 25.84034082 ETH for USD @ 192.5 on wallet exchange,ETH,25.84034082,56.47712639,02-02-20 12:10:52,exchange
2623561085,Exchange 3.25 ETH for USD @ 192.49 on wallet exchange,ETH,3.25,30.63678557,02-02-20 12:10:52,exchange
2623561083,Exchange 3.25 ETH for USD @ 192.49 on wallet exchange,USD,-625.5925,4.8e-7,02-02-20 12:10:52,exchange
2623561070,Exchange 25.84034082 ETH for USD @ 192.5 on wallet exchange,USD,-4974.26560785,625.59250048,02-02-20 12:10:52,exchange
2623561052,Exchange 0.53 ETH for USD @ 192.48605469 on wallet exchange,USD,-102.01760899,5599.85810833,02-02-20 12:10:52,exchange
2623561051,Exchange 0.53 ETH for USD @ 192.48605469 on wallet exchange,ETH,0.53,27.40278557,02-02-20 12:10:52,exchange
2623561049,Exchange 0.57049957 ETH for USD @ 192.47 on wallet exchange,ETH,0.57049957,26.87278557,02-02-20 12:10:52,exchange
2623561048,Exchange 0.57049957 ETH for USD @ 192.47 on wallet exchange,USD,-109.80405224,5701.87571732,02-02-20 12:10:52,exchange
2623561045,Exchange 8.0 ETH for USD @ 192.4194889 on wallet exchange,ETH,8,26.302286,02-02-20 12:10:52,exchange
2623561044,Exchange 10.30228599 ETH for USD @ 192.4305832 on wallet exchange,USD,-1982.47490135,5811.67976956,02-02-20 12:10:52,exchange
2623561041,Exchange 8.0 ETH for USD @ 192.4194889 on wallet exchange,USD,-1539.3559112,7794.15467091,02-02-20 12:10:52,exchange
2623561040,Exchange 10.30228599 ETH for USD @ 192.4305832 on wallet exchange,ETH,10.30228599,18.302286,02-02-20 12:10:52,exchange
2623561038,Exchange 8.0 ETH for USD @ 192.40839461 on wallet exchange,USD,-1539.26715688,9333.51058211,02-02-20 12:10:52,exchange
2623561036,Exchange 8.0 ETH for USD @ 192.40839461 on wallet exchange,ETH,8,8.00000001,02-02-20 12:10:52,exchange
2623560872,Transfer of 10872.77773899 USD from wallet Trading to Exchange on wallet exchange,USD,10872.77773899,10872.77773899,02-02-20 12:10:46,exchange
2623560871,Transfer of 10872.77773899 USD from wallet Trading to Exchange on wallet margin,USD,-10872.77773899,-1e-8,02-02-20 12:10:46,margin
2620293735,Used Margin Funding Charge on wallet margin,ETH,-0.00021537,8.98793745,30-01-20 22:57:34,margin
2620274418,Crypto Withdrawal fee on wallet margin,BTC,-0.0004,0.6077635,30-01-20 22:40:54,margin
2620274417,Bitcoin Withdrawal #13548590 on wallet margin,BTC,-0.9996,0.6081635,30-01-20 22:40:54,margin
2620270122,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000779,0.00071823,30-01-20 22:36:20,exchange
2620270119,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000623,0.00071044,30-01-20 22:36:20,exchange
2620270118,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000604,0.00070421,30-01-20 22:36:20,exchange
2620270117,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00007608,0.00069817,30-01-20 22:36:20,exchange
2620270103,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000252,0.00062209,30-01-20 22:36:20,exchange
2620270098,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,8.9e-7,0.00061957,30-01-20 22:36:20,exchange
2620270096,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000239,0.00061868,30-01-20 22:36:20,exchange
2620270090,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000238,0.00061629,30-01-20 22:36:20,exchange
2620270086,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00002248,0.00061391,30-01-20 22:36:20,exchange
2620270076,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,8e-8,0.00059143,30-01-20 22:36:20,exchange
2620270064,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001689,0.00059135,30-01-20 22:36:20,exchange
2620270061,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000169,0.00057446,30-01-20 22:36:20,exchange
2620270058,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001612,0.00057277,30-01-20 22:36:20,exchange
2620270057,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000252,0.00055665,30-01-20 22:36:20,exchange
2620270052,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001689,0.00055413,30-01-20 22:36:20,exchange
2620270039,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000806,0.00053724,30-01-20 22:36:20,exchange
2620270037,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001558,0.00052918,30-01-20 22:36:20,exchange
2620270035,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001714,0.0005136,30-01-20 22:36:20,exchange
2620270025,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001661,0.00049646,30-01-20 22:36:20,exchange
2620270018,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000262,0.00047985,30-01-20 22:36:20,exchange
2620270017,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001558,0.00047723,30-01-20 22:36:20,exchange
2620270010,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00003756,0.00046165,30-01-20 22:36:20,exchange
2620270009,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.0000044,0.00042409,30-01-20 22:36:20,exchange
2620269997,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,8e-8,0.00041969,30-01-20 22:36:20,exchange
2620269993,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000243,0.00041961,30-01-20 22:36:20,exchange
2620269989,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001689,0.00041718,30-01-20 22:36:20,exchange
2620269987,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,4.1e-7,0.00040029,30-01-20 22:36:20,exchange
2620269985,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000254,0.00039988,30-01-20 22:36:20,exchange
2620269982,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,7.8e-7,0.00039734,30-01-20 22:36:20,exchange
2620269978,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000779,0.00039656,30-01-20 22:36:20,exchange
2620269975,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00012848,0.00038877,30-01-20 22:36:20,exchange
2620269974,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00006232,0.00026029,30-01-20 22:36:20,exchange
2620269971,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000238,0.00019797,30-01-20 22:36:20,exchange
2620269953,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00006316,0.00019559,30-01-20 22:36:20,exchange
2620269948,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001687,0.00013243,30-01-20 22:36:20,exchange
2620269935,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00002982,0.00011556,30-01-20 22:36:20,exchange
2620269934,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000806,0.00008574,30-01-20 22:36:20,exchange
2620269924,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001686,0.00007768,30-01-20 22:36:20,exchange
2620269923,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00001687,0.00006082,30-01-20 22:36:20,exchange
2620269917,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000156,0.00004395,30-01-20 22:36:20,exchange
2620269915,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000806,0.00004239,30-01-20 22:36:20,exchange
2620269880,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000663,0.00003433,30-01-20 22:36:20,exchange
2620269864,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000806,0.0000277,30-01-20 22:36:20,exchange
2620269843,"Affiliate Rebate (self,rebate:4.2406%) on wallet exchange",BTC,0.00000244,0.00001964,30-01-20 22:36:20,exchange
2620269909,Used Margin Funding Charge on wallet margin,ETH,-0.00655101,8.98815282,30-01-20 22:36:20,margin
2620270115,Trading fees for 5.0 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-1.8445,10872.77773898,30-01-20 22:36:20,margin
2620270111,Trading fees for 1.61987678 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.59760494,10874.62223898,30-01-20 22:36:20,margin
2620270091,Trading fees for 1.61439549 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.59558278,10875.21984392,30-01-20 22:36:20,margin
2620270087,Trading fees for 1.62815534 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.60065907,10875.8154267,30-01-20 22:36:20,margin
2620270077,Trading fees for 0.56943 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.21006273,10876.41608577,30-01-20 22:36:20,margin
2620270074,Trading fees for 0.05242578 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.01933987,10876.6261485,30-01-20 22:36:20,margin
2620270068,Trading fees for 10.0 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.689,10876.64548837,30-01-20 22:36:20,margin
2620270067,Trading fees for 48.84 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-18.017076,10880.33448837,30-01-20 22:36:20,margin
2620270066,Trading fees for 10.83906 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.99852923,10898.35156437,30-01-20 22:36:20,margin
2620270045,Trading fees for 10.663 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.9335807,10902.3500936,30-01-20 22:36:20,margin
2620270040,Trading fees for 82.46940389 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-30.42461248,10906.2836743,30-01-20 22:36:20,margin
2620270033,Trading fees for 10.0 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.6892,10936.70828678,30-01-20 22:36:20,margin
2620270030,Trading fees for 3.88023946 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-1.43149794,10940.39748678,30-01-20 22:36:20,margin
2620270024,Trading fees for 4.0 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-1.47568,10941.82898472,30-01-20 22:36:20,margin
2620270015,Trading fees for 40.0 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-14.7568,10943.30466472,30-01-20 22:36:20,margin
2620270006,Trading fees for 1.52514285 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.5626557,10958.06146472,30-01-20 22:36:20,margin
2620270002,Trading fees for 1.68126251 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.62025137,10958.62412042,30-01-20 22:36:20,margin
2620270000,Trading fees for 10.83906 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.99874602,10959.24437179,30-01-20 22:36:20,margin
2620269996,Trading fees for 1.0847513 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.40018645,10963.24311781,30-01-20 22:36:20,margin
2620269994,Trading fees for 24.11 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-8.894179,10963.64330426,30-01-20 22:36:20,margin
2620269981,Trading fees for 1.53518837 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.56636169,10972.53748326,30-01-20 22:36:20,margin
2620269968,Trading fees for 0.26609029 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.09816071,10973.10384495,30-01-20 22:36:20,margin
2620269962,Trading fees for 1.52905672 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.56406902,10973.20200566,30-01-20 22:36:20,margin
2620269959,Trading fees for 10.82416 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.99303262,10973.76607468,30-01-20 22:36:20,margin
2620269956,Trading fees for 1.56202535 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.57626239,10977.7591073,30-01-20 22:36:20,margin
2620269949,Trading fees for 10.83906 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.99874602,10978.33536969,30-01-20 22:36:20,margin
2620269945,Trading fees for 5.0 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-1.8446,10982.33411571,30-01-20 22:36:20,margin
2620269941,Trading fees for 0.05244785 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-0.01934801,10984.17871571,30-01-20 22:36:20,margin
2620269937,Trading fees for 11.0 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-4.0579,10984.19806372,30-01-20 22:36:20,margin
2620269933,Trading fees for 10.82972 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-3.99508371,10988.25596372,30-01-20 22:36:20,margin
2620269918,Trading fees for 14.43 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-5.3235156,10992.25104743,30-01-20 22:36:20,margin
2620269910,Trading fees for 5.17465247 ETH (ETHBTC) @ 0.0194 on BFX (0.2%) on wallet margin,USD,-1.9089293,10997.57456303,30-01-20 22:36:20,margin
