Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee,Fee Currency,Fee Total
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12160424,0.17711363,0.02153776,0.2%,173751098153,0.02149469,-0.17711363,ETH,0.00004307
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12200000,0.00524598,0.00064000,0.2%,173751098153,0.00063872,-0.00524598,ETH,0.00000128
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12200000,50.00000000,6.10000000,0.2%,173751098153,6.08780000,-50.00000000,ETH,0.01220000
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12200895,61.79000000,7.53893302,0.2%,173751098153,7.52385516,-61.79000000,ETH,0.01507786
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12200896,30.89500000,3.76946681,0.2%,173751098153,3.76192788,-30.89500000,ETH,0.00753893
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12200896,308.95000000,37.69466819,0.2%,173751098153,37.61927886,-308.95000000,ETH,0.07538933
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12200897,60.45580022,7.37614991,0.2%,173751098153,7.36139762,-60.45580022,ETH,0.01475229
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12271067,154.47500000,18.95573074,0.2%,173751098153,18.91781928,-154.47500000,ETH,0.03791146
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12368201,2.00690375,0.24821788,0.2%,173751098153,0.24772145,-2.00690375,ETH,0.00049643
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12368202,149.85000000,18.53375069,0.2%,173751098153,18.49668319,-149.85000000,ETH,0.03706750
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12420611,58.00000000,7.20395438,0.2%,173751098153,7.18954648,-58.00000000,ETH,0.01440790
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12420613,5.30830640,0.65932419,0.2%,173751098153,0.65800555,-5.30830640,ETH,0.00131864
2019-05-03 20:35:32,REP/ETH,Exchange,Sell,0.12420614,45.06600000,5.59747390,0.2%,173751098153,5.58627896,-45.06600000,ETH,0.01119494
2019-04-03 03:40:04,REP/BTC,Exchange,Buy,0.00422964,0.60527467,0.00256009,0.2%,208762482720,-0.00256009,0.60406413,REP,0.00121054
2019-04-03 03:39:56,REP/BTC,Exchange,Buy,0.00424514,0.06042672,0.00025651,0.08%,208762416786,-0.00025651,0.06037838,REP,0.00004834
2019-04-03 03:39:56,REP/BTC,Exchange,Buy,0.00424514,6.01000000,0.02551329,0.08%,208762416786,-0.02551329,6.00519200,REP,0.00480800
2019-04-03 03:39:56,REP/BTC,Exchange,Buy,0.00424514,6.01000000,0.02551329,0.08%,208762416786,-0.02551329,6.00519200,REP,0.00480800
2019-04-03 03:39:55,REP/BTC,Exchange,Buy,0.00424514,174.34800000,0.74013166,0.2%,208762416786,-0.74013166,173.99930400,REP,0.34869600
2019-04-03 03:39:55,REP/BTC,Exchange,Buy,0.00422966,150.59556325,0.63696803,0.2%,208762416786,-0.63696803,150.29437213,REP,0.30119112
2019-04-03 03:39:55,REP/BTC,Exchange,Buy,0.00422966,8.77000000,0.03709411,0.2%,208762416786,-0.03709411,8.75246000,REP,0.01754000
2019-04-03 03:39:55,REP/BTC,Exchange,Buy,0.00422965,6.01000000,0.02542019,0.2%,208762416786,-0.02542019,5.99798000,REP,0.01202000
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00429111,631.22400731,2.70865165,0.2%,208762243959,-2.70865165,629.96155930,REP,1.26244801
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00429110,87.89409113,0.37716233,0.2%,208762243959,-0.37716233,87.71830295,REP,0.17578818
2019-04-03 03:39:26,REP/BTC,Exchange,Buy,0.00429109,3.46346821,0.01486205,0.2%,208762243959,-0.01486205,3.45654128,REP,0.00692693
