Date,Currency,Amount,Fee Deducted,Amount - Fee,Address,Status
2016-11-07 11:25:38,BTC,5.96000000,0.00010000,5.9599,1BeN8nbiPHCYNnRiL2ihCmJPxRkrQXZ3N1,COMPLETE: 907235b876e8bcc75d2eee4033b3382b02e81581bf57bbfe10aaba8f625b6078
2016-11-07 11:23:12,ETH,1546.43731365,0.01000000,1546.42731365,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0x9bc442021077d11130e8ed829fb2eca26bd523782408ac9acaabe85a875f0696
2016-11-06 10:37:51,BTC,23.90500000,0.00010000,23.9049,1818JWeVxmfK2uXKgbsQCAKj6amYVnSL8P,COMPLETE: a755313055a85ebc96b3bc3389b83584a7a8b2167e73d4572f69ec09affc2cfa
2016-11-03 12:37:06,BTC,0.24000000,0.00010000,0.2399,17h4VN9B833b4U37p7MegFa7RrLLZRLe9c,COMPLETE: 2dac03e0f9c5e7bd597ce584624ef8d4c5adf30d649dc06b17594e8470f7d066
2016-10-31 20:26:17,BTC,0.15400000,0.00010000,0.1539,1BT2hqeBrHhBfUEuBcjTvkzEjDudLEdXD3,COMPLETE: 8db57e6f2c9d3c2e392703f69309550e338af7d7900b4190902bacf47e8e18b8
2016-10-29 14:30:27,BTC,25.00000000,0.00010000,24.9999,1393Bg8yppf4gFLwFL4opoUypzDoo42wsF,COMPLETE: 4703bb9ec16f2afb3f402202dac5679c3fdf128ab42d2bc5c8c3d4c464e3d053
2016-10-29 10:42:49,ETH,645.62522090,0.01000000,645.6152209,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0x073683a0d808e52620759a613683055cfdf66c0ba79c7a71769ae1e05c86aef1
2016-10-29 10:36:44,ETH,914.30140504,0.01000000,914.29140504,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0x9008c24d25743156f84d53b64501a439cb8d2d9b0080944d5b8cad3f282b0d5d
2016-10-29 10:32:40,ETH,10.00000000,0.01000000,9.99,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0x84cc937a8744a6275462e27c52039b07428692c29bef2d634e6914050fb1e7e5
2016-10-18 18:53:47,BTC,19.81076995,0.00010000,19.81066995,13zDfeRy5eaAdPQT16sy5MQ8EmRXmALiym,COMPLETE: ed41e00f721862e1ba6d1e1ff2fa8c61fdfc24b72675f34fc7e9735d31b5742c
2016-10-11 10:59:28,BTC,27.97810673,0.00010000,27.97800673,16Nz9ct3pmBBRpGdGu1PbpYgz1vBepenHM,COMPLETE: 5e0457ea24ec4dbbf57645a06f5a869e29a9ddf6b48ff03229c972c91028fb25
2016-09-14 07:19:31,BTC,0.20429983,0.00010000,0.20419983,1AXSd6uSsXXhN7mz67KKTpVTCfdRhEKKms,COMPLETE: f6fe29c8df75d2853e86603c326a25b3f1e7871abedff719b55f659eeeb85bb7
2016-09-08 13:03:13,ETH,1399.35219291,0.01000000,1399.34219291,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0xbd419f34b5bf1ffa10a343e4fcf7979a6229ebf5630f030bf130a388f6b8680e
2016-09-08 12:59:52,ETH,1000.00000000,0.01000000,999.99,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0xcabb46013c0bf18993e81d590ec2b9595d10d9b37240624e696c85342fcfceac
2016-09-06 21:43:57,BTC,0.12000000,0.00010000,0.1199,1FP6o2BWxvG8SGMTLxBYdmME9bG5rz5TpG,COMPLETE: 24e4bc1c2e021cdabfd5a4e614e6654fcd8d74d6a124a376016b0379ac5055da
2016-08-11 21:42:19,ETH,499.08546683,0.01000000,499.07546683,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0x6f71b6fe1fb8120501cd06667608c5e53bece8a95978670acb94cbaafdf2075d
2016-08-11 21:36:00,ETH,500.00000000,0.01000000,499.99,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0x0db97d504fe194e22e98aa2c8878dc02192ca5031c659fa178618ae347db2f20
2016-08-11 21:31:59,ETH,1.00000000,0.01000000,0.99,0x4c96F507fE15D4B0102e695285D1342D1434c3EF,COMPLETE: 0x4466cbe7070557228a9c1d74aee0381d32c5710582ef33800eff460ab8926503
2016-07-30 11:19:10,ETH,1008.00000000,0.01000000,1007.99,0xf6d9562337fd79841b59565707c09efaea8afaa4,COMPLETE: 0x5873117aa42ec0512f61a882fd96f1c07d287575ca32fab2619f9e59a259d907
2016-07-28 14:39:45,ETH,1390.00000000,0.01000000,1389.99,0xf6d9562337fd79841b59565707c09efaea8afaa4,COMPLETE: 0x8333cfff44b008a8dc93bfe426c28108814e45f3d2f0e9c091308a7966895880
2016-07-28 14:32:47,ETH,10.00000000,0.01000000,9.99,0xf6d9562337fd79841b59565707c09efaea8afaa4,COMPLETE: 0x6179f117171ba25608412c4cb548986515b7507ff0e65eda7dac4d71891fad22
