Date,Currency,Amount,Address,Status
2016-03-01 16:05:00,BTC,2.50000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2016-02-25 01:54:15,ETH,499.99873999,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2016-02-17 22:34:00,ETH,999.99874000,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2016-02-16 15:07:47,BTC,2.40000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2016-02-16 05:26:14,ETH,599.99873999,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2016-02-14 16:39:27,ETH,1.98769000,0x0d061130791e6efc8bafab6c1dd5c8b71617919a,COMPLETE
2016-02-13 15:34:28,BTC,8.98000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2016-02-03 23:54:59,BTC,3.33000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2016-01-27 15:47:26,BTC,5.00000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2016-01-26 15:40:57,BTC,4.00000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2016-01-03 14:43:15,BTC,2.30000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
2016-01-01 23:57:02,BTC,2.50000000,1Hkj7w19LdWMLb4wjWT5KZMRKxMrzDdVKM,COMPLETE
